sentiment,term,tfidf
Neutral,<e2><80><99>,0.6020599913279624
Neutral,democrats,0.6020599913279624
Neutral,republicans,0.6020599913279624
Neutral,hurricane,0.6020599913279624
Neutral,ian,0.6020599913279624
Neutral,here<e2><80><99>s,0.6020599913279624
Neutral,<e2><80><a6>,0.6020599913279624
Neutral,<e2><9a><a0><ef><b8><8f>,0.6020599913279624
Neutral,i<e2><80><99>m,0
Positive,i<e2><80><99>m,0
Positive,<e2><80><99>,0
Positive,democrats,0
Positive,republicans,0
Positive,hurricane,0
Positive,ian,0
Positive,here<e2><80><99>s,0
Positive,<e2><80><a6>,0
Positive,<e2><9a><a0><ef><b8><8f>,0
